1, Oyster, Pleurotus ostrestus, https://i.etsystatic.com/19813055/r/il/f3e561/2103804724/il_794xN.2103804724_i4vh.jpg
2, Chanterelle, Cantharellus cibarius, https://i.pinimg.com/236x/e0/5d/17/e05d1732cf1d1806484e4ce45782edde--edible-mushrooms-wild-mushrooms.jpg
3, Morel, Morchella, https://i0.wp.com/absolutemichigan.com/wp-content/uploads/2016/04/Backyard-Morels.jpg
4, Shaggy Inkcap, Coprinus comatus, https://th.bing.com/th/id/OIP.RYCwItrj483DSiUPQvLisQHaJ4?pid=ImgDet&rs=1
5, Black Trumpet, Craterellus cornucopioides Cantharellales, https://www.mushroomstalkers.com/blog/wp-content/uploads/2021/08/black-chanterelle.jpg
6, Chicken of the woods, Laetiporus, https://th.bing.com/th/id/R.b3e129c4132e39652545c59c859719f6?rik=AGYOWnbd0rwTDg&pid=ImgRaw&r=0
7, Lion's mane, Hericium erinaceus, https://plantinstructions.com/wp-content/uploads/2020/07/lions-mane-mushrooms-1024x683.jpg
8, Hen of the woods, Grifola frondosa, https://revelationsofnature.com/wp-content/uploads/2020/10/Maitake-1280-877-Gummy-mushrooms.jpg
9, King Bolete, Boletus edulis, https://images-na.ssl-images-amazon.com/images/I/81cH1KVTgwL._AC_SL1500_.jpg
10, Puffball, Calvatia gigantea, https://th.bing.com/th/id/OIP.KuhQVNdD90I7_YesuHUi9gHaFX?pid=ImgDet&w=1500&h=1087&rs=1
