United States of America,https://www.countryflags.com/wp-content/uploads/united-states-of-america-flag-png-large.png
Vietnam,https://www.countryflags.com/wp-content/uploads/vietnam-flag-png-large.png
Turkey,https://www.countryflags.com/wp-content/uploads/turkey-flag-png-large.png
Tanzania,https://www.countryflags.com/wp-content/uploads/tanzania-flag-png-large.png
Malaysia,https://www.countryflags.com/wp-content/uploads/malaysia-flag-png-large.png
Somalia,https://www.countryflags.com/wp-content/uploads/somalia-flag-png-large.png
Switzerland,https://www.countryflags.com/wp-content/uploads/switzerland-flag-png-large.png
New Zealand,https://www.countryflags.com/wp-content/uploads/new-zealand-flag-png-large.png
Cyprus,https://www.countryflags.com/wp-content/uploads/cyprus-flag-png-large.png
Iran,https://www.countryflags.com/wp-content/uploads/iran-flag-png-large.png
Morocco,https://www.countryflags.com/wp-content/uploads/morocco-flag-png-large.png
North Korea,https://www.countryflags.com/wp-content/uploads/north-korea-flag-png-large.png
Venezuela,https://www.countryflags.com/wp-content/uploads/venezuela-flag-png-large.png
Malawi,https://www.countryflags.com/wp-content/uploads/malawi-flag-png-large.png
Albania,https://www.countryflags.com/wp-content/uploads/albania-albanian-flag-png-square-large.png
Vatican City,https://www.countryflags.com/wp-content/uploads/vatican-city-flag-png-large.png
Australia,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-9-2048x1024.jpg
Peru,https://www.countryflags.com/wp-content/uploads/peru-flag-png-large.png
Ethiopia,https://www.countryflags.com/wp-content/uploads/ethiopia-flag-png-large.png
Indonesia,https://www.countryflags.com/wp-content/uploads/indonesia-flag-png-large.png
France,https://www.countryflags.com/wp-content/uploads/france-flag-png-large.png
Myanmar,https://www.countryflags.com/wp-content/uploads/myanmar-flag-png-large.png
Thailand,https://www.countryflags.com/wp-content/uploads/thailand-flag-png-large.png
Italy,https://www.countryflags.com/wp-content/uploads/italy-flag-png-large.png
Angola,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-5-2048x1365.jpg
Syria,https://www.countryflags.com/wp-content/uploads/syria-flag-png-large.png
Cuba,https://www.countryflags.com/wp-content/uploads/cuba-flag-png-large.png
Greece,https://www.countryflags.com/wp-content/uploads/greece-flag-png-large.png
Austria,https://www.countryflags.com/wp-content/uploads/flag-jpg-xl-10-2048x1365.jpg
Paraguay,https://www.countryflags.com/wp-content/uploads/paraguay-flag-png-large.png
Lesotho,https://www.countryflags.com/wp-content/uploads/lesotho-flag-png-large.png
Greenland,https://www.countryflags.com/wp-content/uploads/greenland-flag-jpg-xl.jpg
